POSTCODE,SUBURB,STATE
3175,Dandenong,VIC
3977,Cranbourne,VIC
3029,Hoppers Crossing,VIC
3030,Werribee,VIC
3064,Craigieburn,VIC
3805,Narre Warren,VIC
3199,Frankston,VIC
3350,Ballarat,VIC
3021,St Albans,VIC
3023,Caroline Springs,VIC
3150,Glen Waverley,VIC
3073,Reservoir,VIC
3056,Brunswick,VIC
3072,Preston,VIC
3806,Berwick,VIC
3037,Sydenham,VIC
3020,Sunshine,VIC
3156,Ferntree Gully,VIC
3058,Coburg,VIC
3136,Croydon,VIC
3216,Waurn Ponds,VIC
3174,Noble Park,VIC
3810,Pakenham,VIC
3121,Richmond,VIC
3550,Bendigo,VIC
3195,Mordialloc,VIC
3178,Rowville,VIC
3337,Melton,VIC
3046,Glenroy,VIC
3043,Gowanbrae,VIC
3082,Mill Park,VIC
3630,Shepparton,VIC
3152,Wantirna,VIC
3134,Ringwood,VIC
3149,Mount Waverley,VIC
3076,Epping,VIC
3429,Sunbury,VIC
3074,Thomastown,VIC
3083,Bundoora,VIC
3802,Endeavour Hills,VIC
3153,Bayswater,VIC
3976,Hampton Park,VIC
3038,Watergardens,VIC
3000,Melbourne,VIC
3012,Maidstone,VIC
3214,Corio,VIC
3163,Glen Huntly,VIC
3028,Laverton,VIC
3130,Blackburn,VIC
3047,Broadmeadows,VIC
3171,,
3204,,
3192,,
3844,,
3048,,
3170,,
3166,,
3280,,
3165,,
3168,,
3551,,
3931,,
3155,,
3109,,
3044,,
3075,,
3910,,
3196,,
3201,,
3088,,
3138,,
3169,,
3095,,
3690,,
3172,,
3198,,
3215,,
3500,,
3108,,
3032,,
3173,,
3162,,
3025,,
3825,,
3084,,
3207,,
3140,,
3219,,
3186,,
3139,,
3340,,
3131,,
3182,,
3011,,
3752,,
3840,,
3133,,
3061,,
3352,,
3205,,
3040,,
3135,,
3101,,
3803,,
3081,,
3106,,
3122,,
3939,,
3146,,
3754,,
3338,,
3555,,
3220,,
3912,,
3060,,
3356,,
3875,,
3128,,
3193,,
3070,,
3189,,
3104,,
3124,,
3024,,
3068,,
3183,,
3145,,
3071,,
3194,,
3137,,
3141,,
3015,,
3132,,
3188,,
3006,,
3564,,
3031,,
3355,,
3181,,
3013,,
3127,,
3125,,
3820,,
3042,,
3167,,
3187,,
3212,,
3059,,
3177,,
3161,,
3850,,
3400,,
3184,,
3975,,
3016,,
3103,,
3756,,
3147,,
3107,,
3930,,
3197,,
3055,,
3777,,
3941,,
3033,,
3129,,
3934,,
3677,,
3026,,
3004,,
3018,,
3818,,
3160,,
3185,,
3782,,
3556,,
3034,,
3915,,
3250,,
3218,,
3041,,
3142,,
3039,,
3051,,
3796,,
3085,,
3148,,
3757,,
3111,,
3144,,
